# Lista completa de marcas de cosmeticos capilares
# Formato: Marca	Marketplace	URL

1Ka Hair	Beleza na Web	https://www.stilohair.com.br/marca/1ka-hair.html
A-line	Beleza na Web	https://alinebrasilcosmetics.com.br/loja/
Abela Cosmetics	Beleza na Web	https://www.lojaabelacosmetics.com/produtos/?mpage=3
Abelha Rainha	Mercado Livre	https://www.abelharainha.com.br/abelha-rainha/cabelos
Acquaflora	Beleza na Web	https://www.acquafloracosmeticos.com.br/
Adlux Cosmeticos	Beleza na Web	https://adluxmg.com.br/
Agilise Cosmeticos	Mercado Livre	https://agilisecosmeticos.com.br/
All Nature	Mercado Livre	https://www.allnature.com.br/
Alpha Line	Beleza na Web	https://alphalinecosmeticos.com.br/
Alphahall Cosmetiques	Beleza na Web	https://www.alphahall.com.br/loja/busca.php?loja=1193840&palavra_busca=
Alva	Mercado Livre	https://alvapersonalcare.com.br/
Amahka Paris	Beleza na Web	https://www.amakhaparis.com.br/produtos-para-cabelo
Amazonico Care	Beleza na Web	https://amazonicocare.com.br/collections/all
Amend Cosmeticos	Beleza na Web	https://www.amend.com.br/
American Desire	Beleza na Web	https://www.americandesire.com.br/
Aneethun	Beleza na Web	https://www.aneethun.com/
Anuar Cosmeticos	Beleza na Web	https://anuar.com.br/loja/
Apice Cosmeticos	Beleza na Web	https://www.apicecosmeticos.com.br/
Aramath Cosmeticos	Beleza na Web	https://aramath.com.br/
Aromia Cosmeticos	Beleza na Web	https://aromia.com.br/
Arvensis Cosmeticos Naturais	Beleza na Web	https://arvensiscosmeticos.com.br/collections/produtos
Ativare	Beleza na Web	https://www.prolabcosmetics.com.br/ativare
Ativo Natural	Beleza na Web	https://ativonatural.com.br/c-cosmeticos
Azenka	Beleza na Web	https://www.azenka.com.br/cosmeticos/cabelo
B. Hulmann	Beleza na Web	https://bhulmann.com.br/collections/all
B.O.B. Bars	Beleza na Web	https://www.usebob.com.br/collections/cabelo
B.URB	Beleza na Web	https://www.newoldman.com.br/cabelo-masculino
Balai	Beleza na Web	https://mundobalai.com.br/collections/
Barba De Macho	Mercado Livre	https://barbademacho.com.br/
Barba de Respeito	Beleza na Web	https://barbaderespeito.com.br/
Barba de Urso	Beleza na Web	https://barbadeurso.com.br/
Barba Robusta	Beleza na Web	https://www.barbarobusta.com.br/
Barba Urbana	Mercado Livre	https://www.barbaurbana.com.br/
BarroMinas	Mercado Livre	https://lojabarrominas.com.br/
Baume	Beleza na Web	https://baume.com.br/
Be Belle	Beleza na Web	https://www.bebelle.com.br/
Beauty Secret	Beleza na Web	https://www.beautysecret.com.br/
BeautyColor	Beleza na Web	https://beautycolorcompany.com.br/
Bebe Natureza	Mercado Livre	https://www.bebenatureza.com.br/
Bedalm Pharma do Brasil	Beleza na Web	https://www.bedalm.com.br/
Begonia Cosmeticos	Beleza na Web	https://begoniacosmeticos.com.br/
Belcazzi Profissional	Beleza na Web	https://www.belcazzi.com.br/
Beleza Express	Beleza na Web	https://belezaexpress.com.br/
Beleza Natural	Beleza na Web	https://www.bncachos.com.br/
Beleza Ruiva	Beleza na Web	https://belezaruiva.com.br/
Belkit	Beleza na Web	https://belkit.com.br/
